timestamp(ms),Error,Error Integral,Error Derivative,Engine RPM Target,Engine RPM,Secondary RPM,Target Ratio,Measured Ratio,Stepper Position,Kp,Ki,Kd,
"1157.777","0.21","-0.19","0.98","3000","1784","543","3.5",,,,,,
"1157.778","0.21","-0.19","0.98",,,,,"3.29","0.35","-0.3","-0.05","0",
"1157.828","0.21","-0.18","1.24","3000","1781","542","3.5",,,,,,
"1157.829","0.21","-0.18","1.24",,,,,"3.29","0.35","-0.3","-0.05","0",
"1157.879","0.21","-0.17","0.62","3000","1777","541","3.5",,,,,,
"1157.88","0.21","-0.17","0.62",,,,,"3.29","0.35","-0.3","-0.05","0",
"1157.93","0.19","-0.16","0.72","3000","1775","536","3.5",,,,,,
"1157.931","0.19","-0.16","0.72",,,,,"3.31","0.35","-0.3","-0.05","0",
"1157.981","0.2","-0.15","2.33","3000","1768","536","3.5",,,,,,
"1157.982","0.2","-0.15","2.33",,,,,"3.3","0.35","-0.3","-0.05","0",
"1158.032","0.12","-0.14","0","3000","1764","521",,,,,,,
"1158.033","0.12","-0.14","0",,,,"3.5","3.38","0.35","-0.3","-0.05","0",
"1158.083","0.07","-0.14","0","3000","1757","512","3.5",,,,,,
"1158.084","0.07","-0.14","0",,,,,"3.43","0.35","-0.3","-0.05","0",
"1158.134","0.02","-0.13","-22.69","3000","1751","503","3.5",,,,,,
"1158.135","0.02","-0.13","-22.69",,,,,"3.48","0.4","-0.3","-0.05","0",
"1158.185","0","-0.13","0","3000","1744","499","3.5",,,,,,
"1158.186","0","-0.13","0",,,,,"3.5","0.4","-0.3","-0.05","0",
"1158.236","0","-0.13","0","3000","1740","498","3.5",,,,,,
"1158.237","0","-0.13","0",,,,,"3.5","0.4","-0.3","-0.05","0",
"1158.287","-0.03","-0.13","0","3000","1740","493","3.5",,,,,,
"1158.288","-0.03","-0.13","0",,,,,"3.53","0.4","-0.3","-0.05","0",
"1158.338","-0.02","-0.13","0","3000","1740","494","3.5",,,,,,
"1158.339","-0.02","-0.13","0",,,,,"3.52","0.4","-0.3","-0.05","0",
"1158.389","-0.04","-0.14","0","3000","1744","493","3.5",,,,,,
"1158.39","-0.04","-0.14","0",,,,,"3.54","0.4","-0.3","-0.05","0",
"1158.44","-0.04","-0.14","0","3000","1747","493","3.5",,,,,,
"1158.441","-0.04","-0.14","0",,,,,"3.54","0.4","-0.3","-0.05","0",
"1158.491","-0.01","-0.14","0","3000","1749","498","3.5",,,,,,
"1158.492","-0.01","-0.14","0",,,,,"3.51","0.4","-0.3","-0.05","0",
"1158.542","0","-0.14","0","3000","1751","500","3.5",,,,,,
"1158.543","0","-0.14","0",,,,,"3.5","0.4","-0.3","-0.05","0",
"1158.593","0.03","-0.14","0","3000","1754","506","3.5",,,,,,
"1158.594","0.03","-0.14","0",,,,,"3.47","0.4","-0.3","-0.05","0",
"1158.644","0.06","-0.14","11.86","3000","1753","509","3.5",,,,,,
"1158.645","0.06","-0.14","11.86",,,,,"3.44","0.4","-0.3","-0.05","0",
"1158.695","0.07","-0.14","0","3000","1748","510","3.5",,,,,,
"1158.696","0.07","-0.14","0",,,,,"3.43","0.4","-0.3","-0.05","0",
"1158.746","0.09","-0.13","0","3000","1742","510","3.5",,,,,,
"1158.747","0.09","-0.13","0",,,,,"3.41","0.4","-0.3","-0.05","0",
"1158.797","0.13","-0.13","0","3000","1738","515","3.5",,,,,,
"1158.798","0.13","-0.13","0",,,,,"3.37","0.4","-0.3","-0.05","0",
"1158.848","0.19","-0.12","27.85","3000","1734","524","3.5",,,,,,
"1158.849","0.19","-0.12","27.85",,,,,"3.31","0.4","-0.25","-0.05","0",
"1158.899","0.21","-0.11","0","3000","1732","527","3.5",,,,,,
"1158.9","0.21","-0.11","0",,,,,"3.29","0.4","-0.25","-0.05","0",
"1158.95","0.28","-0.1","0","3000","1735","540","3.5",,,,,,
"1158.951","0.28","-0.1","0",,,,,"3.22","0.33","-0.25","-0.05","0",
"1159.001","0.26","-0.08","0","3000","1742","537","3.5",,,,,,
"1159.002","0.26","-0.08","0",,,,,"3.24","0.33","-0.25","-0.05","0",
"1159.052","0.21","-0.07","0","3000","1748","531","3.5",,,,,,
"1159.053","0.21","-0.07","0",,,,,"3.29","0.33","-0.25","-0.05","0",
"1159.103","0.22","-0.06","0","3000","1746","532","3.5",,,,,,
"1159.104","0.22","-0.06","0",,,,,"3.28","0.33","-0.25","-0.05","0",
"1159.154","0.18","-0.05","0","3000","1741","525","3.5",,,,,,
"1159.155","0.18","-0.05","0",,,,,"3.32","0.33","-0.25","-0.05","0",
"1159.205","0.15","-0.04","0","3000","1739","520","3.5",,,,,,
"1159.206","0.15","-0.04","0",,,,,"3.35","0.33","-0.25","-0.05","0",
"1159.256","0.11","-0.03","0.47","3000","1738","513","3.5",,,,,,
"1159.257","0.11","-0.03","0.47",,,,,"3.39","0.33","-0.25","-0.05","0",
"1159.307","0.09","-0.03","0","3000","1737","509","3.5",,,,,,
"1159.308","0.09","-0.03","0",,,,,"3.41","0.33","-0.25","-0.05","0",
