timestamp(ms),Error,Error Integral,Error Derivative,Engine RPM Target,Engine RPM,Secondary RPM,Target Ratio,Measured Ratio,Stepper Position,Kp,Ki,Kd,
"603.949","0","0","0","3000","46","16","3.9","2.94","0",,,,
"603.95",,"0","0",,,,,,,"-0.3","0","0",
"604","0","0","0","3000","46","16","3.9","2.94","0",,,,
"604.001",,"0","0",,,,,,,"-0.3","0","0",
"604.051","0","0","0","3000","46","16","3.9","2.94","0",,,,
"604.052",,"0","0",,,,,,,"-0.3","0","0",
"604.102","0","0","0","3000","46","16","3.9","2.94","0",,,,
"604.103",,"0","0",,,,,,,"-0.3","0","0",
"604.153","0","0","0","3000","46","16","3.9","2.94","0",,,,
"604.154",,"0","0",,,,,,,"-0.3","0","0",
"604.204","0","0","0","3000","46","16","3.9","2.94","0",,,,
"604.205",,"0","0",,,,,,,"-0.3","0","0",
"604.255","0","0","0","3000","46","16","3.9","2.94","0",,,,
"604.256",,"0","0",,,,,,,"-0.3","0","0",
"604.306","0","0","0","3000","46","16","3.9","2.94","0",,,,
"604.307",,"0","0",,,,,,,"-0.3","0","0",
"604.357","0","0","0","3000","46","16","3.9","2.94","0",,,,
"604.358",,"0","0",,,,,,,"-0.3","0","0",
"604.408","0","0","0","3000","46","16","3.9","2.94","0",,,,
"604.409",,"0","0",,,,,,,"-0.3","0","0",
"604.459","0","0","0","3000","46","16","3.9","2.94","0",,,,
"604.46",,"0","0",,,,,,,"-0.3","0","0",
"604.51","0","0","0","3000","46","16","3.9","2.94","0",,,,
"604.511",,"0","0",,,,,,,"-0.3","0","0",
"604.561","0","0","0","3000","46","16","3.9","2.94","0",,,,
"604.562",,"0","0",,,,,,,"-0.3","0","0",
"604.612","0","0","0","3000","46","16","3.9","2.94","0",,,,
"604.613",,"0","0",,,,,,,"-0.3","0","0",
"604.663","0","0","0","3000","46","16","3.9","2.94","0",,,,
"604.664",,"0","0",,,,,,,"-0.3","0","0",
"604.714","0","0","0","3000","46","16","3.9","2.94","0",,,,
"604.715",,"0","0",,,,,,,"-0.3","0","0",
"604.765","0","0","0","3000","46","16","3.9","2.94","0",,,,
"604.766",,"0","0",,,,,,,"-0.3","0","0",
"604.816","0","0","0","3000","46","16","3.9","2.94","0",,,,
"604.817",,"0","0",,,,,,,"-0.3","0","0",
"604.867","0","0","0","3000","46","16","3.9","2.94","0",,,,
"604.868",,"0","0",,,,,,,"-0.3","0","0",
"604.918","0","0","0","3000","46","16","3.9","2.94","0",,,,
"604.919",,"0","0",,,,,,,"-0.3","0","0",
"604.969","0","0","0","3000","46","16","3.9","2.94","0",,,,
"604.97",,"0","0",,,,,,,"-0.3","0","0",
"605.02","0","0","0","3000","46","16","3.9","2.94","0",,,,
"605.021",,"0","0",,,,,,,"-0.3","0","0",
"605.071","0","0","0","3000","46","16","3.9","2.94","0",,,,
"605.072",,"0","0",,,,,,,"-0.3","0","0",
"605.122","0","0","0","3000","46","16","3.9","2.94","0",,,,
"605.123",,"0","0",,,,,,,"-0.3","0","0",
"605.173","0","0","0","3000","46","16","3.9","2.94","0",,,,
"605.174",,"0","0",,,,,,,"-0.3","0","0",
"605.224","0","0","0","3000","46","16","3.9","2.94","0",,,,
"605.225",,"0","0",,,,,,,"-0.3","0","0",
