timestamp(ms),Error,Error Integral,Error Derivative,Engine RPM Target,Engine RPM,Secondary RPM,Target Ratio,Measured Ratio,Stepper Position,Kp,Ki,Kd,
"1533.563","0.28","-5.6","0","3000","1854","750","2.75","2.47",,,,,
"1533.564","0.28","-5.6","0",,,,,,"0.81","-0.4","0","-0.05",
"1533.614","0.3","-5.58","-1.99","3000","1858","757","2.75","2.45",,,,,
"1533.615","0.3","-5.58","-1.99",,,,,,"0.91","-0.4","0","-0.05",
"1533.665","0.27","-5.57","0","3000","1863","753","2.75","2.48",,,,,
"1533.666","0.27","-5.57","0",,,,,,"0.82","-0.4","0","-0.05",
"1533.716","0.29","-5.55","0","3000","1840","747","2.75","2.46",,,,,
"1533.717","0.29","-5.55","0",,,,,,"0.81","-0.4","0","-0.05",
"1533.767","0.29","-5.54","0","3000","1837","746","2.75","2.46",,,,,
"1533.768","0.29","-5.54","0",,,,,,"0.81","-0.4","0","-0.05",
"1533.818","0.28","-5.52","0","3000","1848","747","2.75","2.47",,,,,
"1533.819","0.28","-5.52","0",,,,,,"0.81","-0.4","0","-0.05",
"1533.869","0.28","-5.51","0","3000","1859","751","2.75","2.47",,,,,
"1533.87","0.28","-5.51","0",,,,,,"0.81","-0.4","0","-0.05",
"1533.92","0.28","-5.5","0","3000","1849","747","2.75","2.47",,,,,
"1533.921","0.28","-5.5","0",,,,,,"0.81","-0.4","0","-0.05",
"1533.971","0.28","-5.48","-0.55","3000","1850","747","2.75","2.47",,,,,
"1533.972","0.28","-5.48","-0.55",,,,,,"0.84","-0.4","0","-0.05",
"1534.022","0.28","-5.47","0","3000","1865","755","2.75","2.47",,,,,
"1534.023","0.28","-5.47","0",,,,,,"0.81","-0.4","0","-0.05",
"1534.073","0.28","-5.45","0","3000","1871","758","2.75","2.47",,,,,
"1534.074","0.28","-5.45","0",,,,,,"0.81","-0.4","0","-0.05",
"1534.124","0.28","-5.44","0","3000","1868","756","2.75","2.47",,,,,
"1534.125","0.28","-5.44","0",,,,,,"0.81","-0.4","0","-0.05",
"1534.175","0.27","-5.42","0","3000","1866","754","2.75","2.48",,,,,
"1534.176","0.27","-5.42","0",,,,,,"0.82","-0.4","0","-0.05",
"1534.226","0.28","-5.41","0","3000","1871","757","2.75","2.47",,,,,
"1534.227","0.28","-5.41","0",,,,,,"0.81","-0.4","0","-0.05",
"1534.277","0.29","-5.4","-0.75","3000","1876","762","2.75","2.46",,,,,
"1534.278","0.29","-5.4","-0.75",,,,,,"0.85","-0.4","0","-0.05",
"1534.328","0.28","-5.38","0","3000","1879","760","2.75","2.47",,,,,
"1534.329","0.28","-5.38","0",,,,,,"0.81","-0.4","0","-0.05",
"1534.379","0.28","-5.37","0","3000","1876","759","2.75","2.47",,,,,
"1534.38","0.28","-5.37","0",,,,,,"0.81","-0.4","0","-0.05",
"1534.43","0.27","-5.35","0","3000","1866","752","2.75","2.48",,,,,
"1534.431","0.27","-5.35","0",,,,,,"0.82","-0.4","0","-0.05",
"1534.481","0.28","-5.34","0","3000","1863","755","2.75","2.47",,,,,
"1534.482","0.28","-5.34","0",,,,,,"0.81","-0.4","0","-0.05",
"1534.532","0.29","-5.32","0.78","3000","1859","755","2.75","2.46",,,,,
"1534.533","0.29","-5.32","0.78",,,,,,"0.77","-0.4","0","-0.05",
"1534.583","-0.56","-5.34","0","3000","2483","750","2.75","3.31",,,,,
"1534.584","-0.56","-5.34","0",,,,,,"1.15","-0.4","0","-0.05",
"1534.634","0.28","-5.35","0","3000","1864","755","2.75","2.47",,,,,
"1534.635","0.28","-5.35","0",,,,,,"0.81","-0.4","0","-0.05",
"1534.685","0.3","-5.33","0","3000","1843","751","2.75","2.45",,,,,
"1534.686","0.3","-5.33","0",,,,,,"0.81","-0.4","0","-0.05",
"1534.736","0.28","-5.32","0","3000","1852","749","2.75","2.47",,,,,
"1534.737","0.28","-5.32","0",,,,,,"0.81","-0.4","0","-0.05",
"1534.787","0.29","-5.3","0","3000","1859","756","2.75","2.46",,,,,
"1534.788","0.29","-5.3","0",,,,,,"0.81","-0.4","0","-0.05",
"1534.838","0.27","-5.29","-0.9","3000","1863","751","2.75","2.48",,,,,
"1534.839","0.27","-5.29","-0.9",,,,,,"0.86","-0.4","0","-0.05",
"1534.889","0.28","-5.27","1.27","3000","1863","755","2.75","2.47",,,,,
"1534.89","0.28","-5.27","1.27",,,,,,"0.75","-0.4","0","-0.05",
"1534.94","0.29","-5.26","0","3000","1851","752","2.75","2.46",,,,,
"1534.941","0.29","-5.26","0",,,,,,"0.81","-0.4","0","-0.05",
"1534.991","0.28","-5.25","0","3000","1852","750","2.75","2.47",,,,,
"1534.992","0.28","-5.25","0",,,,,,"0.81","-0.4","0","-0.05",
"1535.042","0.29","-5.23","0","3000","1856","754","2.75","2.46",,,,,
"1535.043","0.29","-5.23","0",,,,,,"0.81","-0.4","0","-0.05",
"1535.093","0.27","-5.22","0","3000","1858","751","2.75","2.48",,,,,
"1535.094","0.27","-5.22","0",,,,,,"0.82","-0.4","0","-0.05",
"1535.144","0.28","-5.2","-4.65","3000","1841","746","2.75","2.47",,,,,
"1535.145","0.28","-5.2","-4.65",,,,,,"1.04","-0.4","0","-0.05",
"1535.195","0.28","-5.19","0","3000","1844","747","2.75","2.47",,,,,
"1535.196","0.28","-5.19","0",,,,,,"0.81","-0.4","0","-0.05",
"1535.246","0.29","-5.17","0","3000","1848","751","2.75","2.46",,,,,
"1535.247","0.29","-5.17","0",,,,,,"0.81","-0.4","0","-0.05",
"1535.297","0.29","-5.16","0","3000","1856","754","2.75","2.46",,,,,
"1535.298","0.29","-5.16","0",,,,,,"0.81","-0.4","0","-0.05",
"1535.348","0.27","-5.14","0","3000","1868","754","2.75","2.48",,,,,
"1535.349","0.27","-5.14","0",,,,,,"0.82","-0.4","0","-0.05",
"1535.399","0.28","-5.13","0","3000","1868","757","2.75","2.47",,,,,
"1535.4","0.28","-5.13","0",,,,,,"0.81","-0.4","0","-0.05",
"1535.45","0.28","-5.12","0","3000","1865","755","2.75","2.47",,,,,
"1535.451","0.28","-5.12","0",,,,,,"0.81","-0.4","0","-0.05",
"1535.501","0.29","-5.1","0","3000","1864","758","2.75","2.46",,,,,
"1535.502","0.29","-5.1","0",,,,,,"0.81","-0.4","0","-0.05",
"1535.552","0.29","-5.09","0","3000","1863","759","2.75","2.46",,,,,
"1535.553","0.29","-5.09","0",,,,,,"0.81","-0.4","0","-0.05",
"1535.603","0.28","-5.07","2.94","3000","1858","752","2.75","2.47",,,,,
"1535.604","0.28","-5.07","2.94",,,,,,"0.67","-0.4","0","-0.05",
"1535.654","0.28","-5.06","0","3000","1855","752","2.75","2.47",,,,,
"1535.655","0.28","-5.06","0",,,,,,"0.81","-0.4","0","-0.05",
"1535.705","0.27","-5.04","0","3000","1864","753","2.75","2.48",,,,,
"1535.706","0.27","-5.04","0",,,,,,"0.82","-0.4","0","-0.05",
"1535.756","0.29","-5.03","0","3000","1870","761","2.75","2.46",,,,,
"1535.757","0.29","-5.03","0",,,,,,"0.81","-0.4","0","-0.05",
"1535.807","0.29","-5.02","0","3000","1869","761","2.75","2.46",,,,,
"1535.808","0.29","-5.02","0",,,,,,"0.81","-0.4","0","-0.05",
