timestamp(ms),Error,Error Integral,Error Derivative,Engine RPM Target,Engine RPM,Secondary RPM,Target Ratio,Measured Ratio,Stepper Position,Kp,Ki,Kd,
"1263.467","0.19","-0.6","0","3000","1800","640","3","2.81",,,,,
"1263.468","0.19","-0.6","0",,,,,,"0.92","-0.2","-0.05","0",
"1263.518","0.2","-0.59","0","3000","1802","643","3","2.8",,,,,
"1263.519","0.2","-0.59","0",,,,,,"0.92","-0.2","-0.05","0",
"1263.569","0.2","-0.58","0","3000","1801","644","3","2.8",,,,,
"1263.57","0.2","-0.58","0",,,,,,"0.91","-0.2","-0.05","0",
"1263.62","0.2","-0.57","-2.23","3000","1808","645","3","2.8",,,,,
"1263.621","0.2","-0.57","-2.23",,,,,,"0.91","-0.2","-0.05","0",
"1263.671","0.2","-0.56","4.08","3000","1804","643","3","2.8",,,,,
"1263.672","0.2","-0.56","4.08",,,,,,"0.91","-0.2","-0.05","0",
"1263.722","0.2","-0.55","0","3000","1792","640","3","2.8",,,,,
"1263.723","0.2","-0.55","0",,,,,,"0.91","-0.2","-0.05","0",
"1263.773","0.17","-0.54","-9.11","3000","1798","636","3","2.83",,,,,
"1263.774","0.17","-0.54","-9.11",,,,,,"0.92","-0.2","-0.05","0",
"1263.824","0.2","-0.53","0","3000","1796","642","3","2.8",,,,,
"1263.825","0.2","-0.53","0",,,,,,"0.91","-0.2","-0.05","0",
"1263.875","0.21","-0.52","0","3000","1793","642","3","2.79",,,,,
"1263.876","0.21","-0.52","0",,,,,,"0.91","-0.2","-0.05","0",
"1263.926","0.17","-0.51","0","3000","1790","632","3","2.83",,,,,
"1263.927","0.17","-0.51","0",,,,,,"0.92","-0.2","-0.05","0",
"1263.977","0.19","-0.5","0","3000","1790","638","3","2.81",,,,,
"1263.978","0.19","-0.5","0",,,,,,"0.91","-0.2","-0.05","0",
"1264.028","-0.74","-0.52","0","3000","2397","641","3","3.74",,,,,
"1264.029","-0.74","-0.52","0",,,,,,"1.1","-0.2","-0.05","0",
"1264.079","0.13","-0.54","14.93","3000","1834","639","3","2.87",,,,,
"1264.08","0.13","-0.54","14.93",,,,,,"0.93","-0.2","-0.05","0",
"1264.13","0.2","-0.53","0","3000","1798","643","3","2.8",,,,,
"1264.131","0.2","-0.53","0",,,,,,"0.91","-0.2","-0.05","0",
