timestamp(ms),Error,Error Integral,Error Derivative,Engine RPM Target,Engine RPM,Secondary RPM,Target Ratio,Measured Ratio,Stepper Position,Kp,Ki,Kd,
"453.151","0.35","-7.35","0","3000","1620","752","2.5","2.15",,,,,
"453.152","0.35","-7.35","0",,,,,,"1.34","-0.3","-0.07","-0.1",
"453.202","0.34","-7.33","4.23","3000","1625","753","2.5","2.16",,,,,
"453.203","0.34","-7.33","4.23",,,,,,"0.91","-0.3","-0.07","-0.1",
"453.253","0.34","-7.31","0","3000","1631","755","2.5","2.16",,,,,
"453.254","0.34","-7.31","0",,,,,,"1.33","-0.3","-0.07","-0.1",
"453.304","0.34","-7.29","0","3000","1641","759","2.5","2.16",,,,,
"453.305","0.34","-7.29","0",,,,,,"1.33","-0.3","-0.07","-0.1",
"453.355","0.35","-7.28","0","3000","1641","765","2.5","2.15",,,,,
"453.356","0.35","-7.28","0",,,,,,"1.33","-0.3","-0.07","-0.1",
"453.406","0.35","-7.26","0","3000","1629","758","2.5","2.15",,,,,
"453.407","0.35","-7.26","0",,,,,,"1.33","-0.3","-0.07","-0.1",
"453.457","0.34","-7.24","2.07","3000","1621","749","2.5","2.16",,,,,
"453.458","0.34","-7.24","2.07",,,,,,"1.12","-0.3","-0.07","-0.1",
"453.508","0.34","-7.22","0","3000","1621","752","2.5","2.16",,,,,
"453.509","0.34","-7.22","0",,,,,,"1.33","-0.3","-0.07","-0.1",
"453.559","0.34","-7.21","0","3000","1621","752","2.5","2.16",,,,,
"453.56","0.34","-7.21","0",,,,,,"1.33","-0.3","-0.07","-0.1",
"453.61","0.35","-7.19","0","3000","1613","750","2.5","2.15",,,,,
"453.611","0.35","-7.19","0",,,,,,"1.32","-0.3","-0.07","-0.1",
"453.661","0.34","-7.17","-2.93","3000","1616","750","2.5","2.16",,,,,
"453.662","0.34","-7.17","-2.93",,,,,,"1.62","-0.3","-0.07","-0.1",
"453.712","0.34","-7.15","0","3000","1620","749","2.5","2.16",,,,,
"453.713","0.34","-7.15","0",,,,,,"1.33","-0.3","-0.07","-0.1",
"453.763","0.34","-7.14","0","3000","1622","751","2.5","2.16",,,,,
"453.764","0.34","-7.14","0",,,,,,"1.32","-0.3","-0.07","-0.1",
"453.814","0.35","-7.12","0","3000","1614","750","2.5","2.15",,,,,
"453.815","0.35","-7.12","0",,,,,,"1.32","-0.3","-0.07","-0.1",
"453.865","0.35","-7.1","-2.34","3000","1615","751","2.5","2.15",,,,,
"453.866","0.35","-7.1","-2.34",,,,,,"1.55","-0.3","-0.07","-0.1",
"453.916","0.34","-7.08","0","3000","1622","751","2.5","2.16",,,,,
"453.917","0.34","-7.08","0",,,,,,"1.32","-0.3","-0.07","-0.1",
"453.967","0.33","-7.07","0","3000","1626","749","2.5","2.17",,,,,
"453.968","0.33","-7.07","0",,,,,,"1.32","-0.3","-0.07","-0.1",
"454.018","0.34","-7.05","0","3000","1628","756","2.5","2.16",,,,,
"454.019","0.34","-7.05","0",,,,,,"1.32","-0.3","-0.07","-0.1",
"454.069","0.35","-7.03","0","3000","1629","758","2.5","2.15",,,,,
"454.07","0.35","-7.03","0",,,,,,"1.31","-0.3","-0.07","-0.1",
"454.12","0.34","-7.01","-4.01","3000","1616","748","2.5","2.16",,,,,
"454.121","0.34","-7.01","-4.01",,,,,,"1.72","-0.3","-0.07","-0.1",
"454.171","0.35","-7","0","3000","1604","746","2.5","2.15",,,,,
"454.172","0.35","-7","0",,,,,,"1.31","-0.3","-0.07","-0.1",
"454.222","0.33","-6.98","0","3000","1606","742","2.5","2.17",,,,,
"454.223","0.33","-6.98","0",,,,,,"1.31","-0.3","-0.07","-0.1",
"454.273","0.34","-6.96","-2.25","3000","1616","747","2.5","2.16",,,,,
"454.274","0.34","-6.96","-2.25",,,,,,"1.54","-0.3","-0.07","-0.1",
"454.324","0.35","-6.94","0","3000","1625","757","2.5","2.15",,,,,
"454.325","0.35","-6.94","0",,,,,,"1.3","-0.3","-0.07","-0.1",
"454.375","0.34","-6.93","0","3000","1635","758","2.5","2.16",,,,,
"454.376","0.34","-6.93","0",,,,,,"1.31","-0.3","-0.07","-0.1",
"454.426","0.35","-6.91","0","3000","1620","752","2.5","2.15",,,,,
"454.427","0.35","-6.91","0",,,,,,"1.3","-0.3","-0.07","-0.1",
"454.477","0.34","-6.89","0","3000","1614","749","2.5","2.16",,,,,
"454.478","0.34","-6.89","0",,,,,,"1.3","-0.3","-0.07","-0.1",
"454.528","0.34","-6.87","0","3000","1612","748","2.5","2.16",,,,,
"454.529","0.34","-6.87","0",,,,,,"1.3","-0.3","-0.07","-0.1",
"454.579","0.34","-6.86","0","3000","1612","747","2.5","2.16",,,,,
"454.58","0.34","-6.86","0",,,,,,"1.3","-0.3","-0.07","-0.1",
"454.63","0.34","-6.84","0","3000","1609","744","2.5","2.16",,,,,
"454.631","0.34","-6.84","0",,,,,,"1.3","-0.3","-0.07","-0.1",
"454.681","0.35","-6.82","-0.21","3000","1599","742","2.5","2.15",,,,,
"454.682","0.35","-6.82","-0.21",,,,,,"1.32","-0.3","-0.07","-0.1",
"454.732","0.34","-6.8","0","3000","1587","734","2.5","2.16",,,,,
"454.733","0.34","-6.8","0",,,,,,"1.3","-0.3","-0.07","-0.1",
"454.783","0.34","-6.79","3.65","3000","1588","736","2.5","2.16",,,,,
"454.784","0.34","-6.79","3.65",,,,,,"0.93","-0.3","-0.07","-0.1",
"454.834","0.36","-6.77","0","3000","1594","744","2.5","2.14",,,,,
"454.835","0.36","-6.77","0",,,,,,"1.29","-0.3","-0.07","-0.1",
"454.885","0.34","-6.75","-2.04","3000","1599","741","2.5","2.16",,,,,
"454.886","0.34","-6.75","-2.04",,,,,,"1.5","-0.3","-0.07","-0.1",
"454.936","0.34","-6.73","0","3000","1600","741","2.5","2.16",,,,,
"454.937","0.34","-6.73","0",,,,,,"1.29","-0.3","-0.07","-0.1",
"454.987","0.34","-6.72","0.82","3000","1603","742","2.5","2.16",,,,,
"454.988","0.34","-6.72","0.82",,,,,,"1.21","-0.3","-0.07","-0.1",
"455.038","0.32","-6.7","0","3000","1612","740","2.5","2.18",,,,,
"455.039","0.32","-6.7","0",,,,,,"1.3","-0.3","-0.07","-0.1",
"455.089","0.35","-6.68","0","3000","1624","756","2.5","2.15",,,,,
"455.09","0.35","-6.68","0",,,,,,"1.29","-0.3","-0.07","-0.1",
"455.14","0.35","-6.66","0","3000","1633","761","2.5","2.15",,,,,
"455.141","0.35","-6.66","0",,,,,,"1.29","-0.3","-0.07","-0.1",
"455.191","0.35","-6.65","0","3000","1633","759","2.5","2.15",,,,,
"455.192","0.35","-6.65","0",,,,,,"1.29","-0.3","-0.07","-0.1",
"455.242","0.34","-6.63","-0.67","3000","1641","759","2.5","2.16",,,,,
"455.243","0.34","-6.63","-0.67",,,,,,"1.35","-0.3","-0.07","-0.1",
"455.293","0.33","-6.61","0","3000","1644","759","2.5","2.17",,,,,
"455.294","0.33","-6.61","0",,,,,,"1.29","-0.3","-0.07","-0.1",
"455.344","0.35","-6.59","0","3000","1648","766","2.5","2.15",,,,,
"455.345","0.35","-6.59","0",,,,,,"1.28","-0.3","-0.07","-0.1",
"455.395","0.34","-6.58","0","3000","1649","765","2.5","2.16",,,,,
"455.396","0.34","-6.58","0",,,,,,"1.28","-0.3","-0.07","-0.1",
