timestamp(ms),Error,Error Integral,Error Derivative,Engine RPM Target,Engine RPM,Secondary RPM,Target Ratio,Measured Ratio,Stepper Position,Kp,Ki,Kd,
"792.955",,,,,,,,"3.36",,,,,
"792.956",,,,,,,,,"0.76","-0.3","0","0",
"793.006","0.53","2.87","-0.13","1700","1784","530","3.9","3.37",,,,,
"793.007","0.53","2.87","-0.13",,,,,,"0.76","-0.3","0","0",
"793.057","0.51","2.89","0","1700","1791","528","3.9","3.39",,,,,
"793.058","0.51","2.89","0",,,,,,"0.77","-0.3","0","0",
"793.108","0.55","2.92","0","1700","1790","534","3.9","3.35",,,,,
"793.109","0.55","2.92","0",,,,,,"0.76","-0.3","0","0",
"793.159","0.57","2.95","0","1700","1775","533","3.9","3.33",,,,,
"793.16","0.57","2.95","0",,,,,,"0.75","-0.3","0","0",
"793.21","0.6","2.98","3.41","1700","1751","530","3.9","3.3",,,,,
"793.211","0.6","2.98","3.41",,,,,,"0.75","-0.3","0","0",
"793.261","0.54","3.01","0","1700","1763","525","3.9","3.36",,,,,
"793.262","0.54","3.01","0",,,,,,"0.76","-0.3","0","0",
"793.312","0.52","3.03","0.45","1700","1763","522","3.9","3.38",,,,,
"793.313","0.52","3.03","0.45",,,,,,"0.77","-0.3","0","0",
"793.363","0.51","3.06","0","1700","1759","519","3.9","3.39",,,,,
"793.364","0.51","3.06","0",,,,,,"0.77","-0.3","0","0",
"793.414","0.51","3.08","0","1700","1754","518","3.9","3.39",,,,,
"793.415","0.51","3.08","0",,,,,,"0.77","-0.3","0","0",
"793.465","0.55","3.11","0","1700","1760","525","3.9","3.35",,,,,
"793.466","0.55","3.11","0",,,,,,"0.76","-0.3","0","0",
"793.516","0.58","3.14","8.65","1700","1738","524","3.9","3.32",,,,,
"793.517","0.58","3.14","8.65",,,,,,"0.75","-0.3","0","0",
"793.567","0.54","3.17","-3.13","1700","1727","514","3.9","3.36",,,,,
"793.568","0.54","3.17","-3.13",,,,,,"0.76","-0.3","0","0",
"793.618","0.53","3.2","0","1700","1733","515","3.9","3.37",,,,,
"793.619","0.53","3.2","0",,,,,,"0.76","-0.3","0","0",
"793.669","0.52","3.22","0","1700","1740","515","3.9","3.38",,,,,
"793.67","0.52","3.22","0",,,,,,"0.77","-0.3","0","0",
"793.72","0.51","3.25","0","1700","1745","515","3.9","3.39",,,,,
"793.721","0.51","3.25","0",,,,,,"0.77","-0.3","0","0",
"793.771","0.52","3.28","0","1700","1749","518","3.9","3.38",,,,,
"793.772","0.52","3.28","0",,,,,,"0.77","-0.3","0","0",
"793.822","0.55","3.3","-7.43","1700","1758","524","3.9","3.35",,,,,
"793.823","0.55","3.3","-7.43",,,,,,"0.76","-0.3","0","0",
"793.873","0.57","3.33","0","1700","1753","527","3.9","3.33",,,,,
"793.874","0.57","3.33","0",,,,,,"0.75","-0.3","0","0",
"793.924","0.55","3.36","0","1700","1746","521","3.9","3.35",,,,,
"793.925","0.55","3.36","0",,,,,,"0.76","-0.3","0","0",
"793.975","0.54","3.39","0","1700","1742","518","3.9","3.36",,,,,
"793.976","0.54","3.39","0",,,,,,"0.76","-0.3","0","0",
"794.026","0.51","3.42","0","1700","1745","515","3.9","3.39",,,,,
"794.027","0.51","3.42","0",,,,,,"0.77","-0.3","0","0",
"794.077","0.52","3.44","0","1700","1752","518","3.9","3.38",,,,,
"794.078","0.52","3.44","0",,,,,,"0.77","-0.3","0","0",
"794.128","0.53","3.47","0","1700","1749","520","3.9","3.37",,,,,
"794.129","0.53","3.47","0",,,,,,"0.76","-0.3","0","0",
"794.179","0.57","3.5","0","1700","1739","522","3.9","3.33",,,,,
"794.18","0.57","3.5","0",,,,,,"0.76","-0.3","0","0",
"794.23","0.55","3.53","0","1700","1742","520","3.9","3.35",,,,,
"794.231","0.55","3.53","0",,,,,,"0.76","-0.3","0","0",
"794.281","0.52","3.55","0","1700","1746","517","3.9","3.38",,,,,
"794.282","0.52","3.55","0",,,,,,"0.77","-0.3","0","0",
"794.332","0.52","3.58","0","1700","1743","516","3.9","3.38",,,,,
"794.333","0.52","3.58","0",,,,,,"0.77","-0.3","0","0",
"794.383","0.51","3.61","0","1700","1738","513","3.9","3.39",,,,,
