timestamp(ms),Error,Error Integral,Error Derivative,Engine RPM Target,Engine RPM,Secondary RPM,Target Ratio,Measured Ratio,Stepper Position,Kp,Ki,Kd,
"1708.373","-0.18","-0.28","0","2400","2814","2275",,,,,,,
"1708.374","-0.18","-0.28","0",,,,"1.06","1.24","0.9","-0.1","-0.05","0",
"1708.424","-0.18","-0.29","-0.01","2400","2815","2272","1.06",,,,,,
"1708.425","-0.18","-0.29","-0.01",,,,,"1.24","0.9","-0.1","-0.05","0",
"1708.475","-0.18","-0.3","0.53","2400","2817","2285","1.05",,,,,,
"1708.476","-0.18","-0.3","0.53",,,,,"1.23","0.9","-0.1","-0.05","0",
"1708.526","-0.18","-0.31","0","2400","2821","2289","1.05",,,,,,
"1708.527","-0.18","-0.31","0",,,,,"1.23","0.9","-0.1","-0.05","0",
"1708.577","-0.19","-0.32","0","2400","2825","2287","1.05",,,,,,
"1708.578","-0.19","-0.32","0",,,,,"1.24","0.9","-0.1","-0.05","0",
"1708.628","-0.19","-0.33","-0.24","2400","2826","2281","1.05",,,,,,
"1708.629","-0.19","-0.33","-0.24",,,,,"1.24","0.9","-0.1","-0.05","0",
"1708.679","-0.19","-0.34","0.03","2400","2823","2271","1.06",,,,,,
"1708.68","-0.19","-0.34","0.03",,,,,"1.24","0.9","-0.1","-0.05","0",
"1708.73","-0.19","-0.35","-0.03","2400","2824","2277","1.05",,,,,,
"1708.731","-0.19","-0.35","-0.03",,,,,"1.24","0.9","-0.1","-0.05","0",
"1708.781","-0.19","-0.36","-0.07","2400","2826","2286","1.05",,,,,,
"1708.782","-0.19","-0.36","-0.07",,,,,"1.24","0.9","-0.1","-0.05","0",
"1708.832","-0.19","-0.37","0","2400","2828","2290","1.05",,,,,,
"1708.833","-0.19","-0.37","0",,,,,"1.23","0.9","-0.1","-0.05","0",
"1708.883","-0.19","-0.38","-0.49","2400","2830","2284","1.05",,,,,,
"1708.884","-0.19","-0.38","-0.49",,,,,"1.24","0.9","-0.1","-0.05","0",
"1708.934","-0.19","-0.39","0","2400","2831","2287","1.05",,,,,,
"1708.935","-0.19","-0.39","0",,,,,"1.24","0.9","-0.1","-0.05","0",
"1708.985","-0.19","-0.4","0","2400","2832","2286","1.05",,,,,,
"1708.986","-0.19","-0.4","0",,,,,"1.24","0.9","-0.1","-0.05","0",
"1709.036","-0.19","-0.41","-0.04","2400","2834","2294","1.05",,,,,,
"1709.037","-0.19","-0.41","-0.04",,,,,"1.24","0.9","-0.1","-0.05","0",
"1709.087","-0.19","-0.42","0","2400","2834","2299","1.04",,,,,,
"1709.088","-0.19","-0.42","0",,,,,"1.23","0.9","-0.1","-0.05","0",
"1709.138","-0.19","-0.43","-0.5","2400","2834","2288","1.05",,,,,,
"1709.139","-0.19","-0.43","-0.5",,,,,"1.24","0.9","-0.1","-0.05","0",
"1709.189","-0.19","-0.44","-0.22","2400","2834","2285","1.05",,,,,,
"1709.19","-0.19","-0.44","-0.22",,,,,"1.24","0.9","-0.1","-0.05","0",
"1709.24","-0.19","-0.45","0","2400","2833","2284","1.05",,,,,,
"1709.241","-0.19","-0.45","0",,,,,"1.24","0.9","-0.1","-0.05","0",
"1709.291","-0.19","-0.46","0.03","2400","2831","2297","1.05",,,,,,
"1709.292","-0.19","-0.46","0.03",,,,,"1.23","0.9","-0.1","-0.05","0",
"1709.342","-0.19","-0.46","-0.19","2400","2831","2298","1.04",,,,,,
"1709.343","-0.19","-0.46","-0.19",,,,,"1.23","0.9","-0.1","-0.05","0",
"1709.393","-0.19","-0.47","-0.39","2400","2833","2294","1.05",,,,,,
"1709.394","-0.19","-0.47","-0.39",,,,,"1.23","0.9","-0.1","-0.05","0",
"1709.444","-0.19","-0.48","0","2400","2838","2300","1.04",,,,,,
"1709.445","-0.19","-0.48","0",,,,,"1.23","0.9","-0.1","-0.05","0",
"1709.495","-0.19","-0.49","0","2400","2843","2304","1.04",,,,,,
"1709.496","-0.19","-0.49","0",,,,,"1.23","0.9","-0.1","-0.05","0",
"1709.546","-0.19","-0.5","0","2400","2848","2312","1.04",,,,,,
"1709.547","-0.19","-0.5","0",,,,,"1.23","0.9","-0.1","-0.05","0",
"1709.597","-0.19","-0.51","0","2400","2849","2315","1.04",,,,,,
"1709.598","-0.19","-0.51","0",,,,,"1.23","0.9","-0.1","-0.05","0",
"1709.648","-0.19","-0.52","-0.6","2400","2848","2300","1.04",,,,,,
"1709.649","-0.19","-0.52","-0.6",,,,,"1.24","0.9","-0.1","-0.05","0",
"1709.699","-0.19","-0.53","-0.1","2400","2843","2291","1.05",,,,,,
"1709.7","-0.19","-0.53","-0.1",,,,,"1.24","0.9","-0.1","-0.05","0",
"1709.75","-0.19","-0.54","0","2400","2839","2298","1.04",,,,,,
"1709.751","-0.19","-0.54","0",,,,,"1.24","0.9","-0.1","-0.05","0",
"1709.801","-0.19","-0.55","0","2400","2834","2297","1.04",,,,,,
"1709.802","-0.19","-0.55","0",,,,,"1.23","0.9","-0.1","-0.05","0",
"1709.852","-0.19","-0.56","0","2400","2831","2299","1.04",,,,,,
"1709.853","-0.19","-0.56","0",,,,,"1.23","0.9","-0.1","-0.05","0",
"1709.903","-0.19","-0.57","0.24","2400","2825","2277","1.05",,,,,,
"1709.904","-0.19","-0.57","0.24",,,,,"1.24","0.9","-0.1","-0.05","0",
"1709.954","-0.19","-0.58","0","2400","2824","2275","1.05",,,,,,
"1709.955","-0.19","-0.58","0",,,,,"1.24","0.9","-0.1","-0.05","0",
"1710.005","-0.19","-0.59","0","2400","2824","2287","1.05",,,,,,
"1710.006","-0.19","-0.59","0",,,,,"1.23","0.9","-0.1","-0.05","0",
"1710.056","-0.19","-0.6","0","2400","2827","2300","1.04",,,,,,
